cidade;denominacao_do_bem_tombado;endereco;tipo;ano_de_tombamento
Andrelândia;Acervo do Antigo Colégio Nossa Senhora do Santíssimo Sacramento;Antigo Colégio das Irmãs - Rua Ernesto Braga  nº 351;BM;2013
Angelândia;Sítio Histórico Alto dos Bois: Fazenda, entorno, bens móveis, integrados, arqueológicos, espeleológicos, naturais, cemitério, cascatas e as corredeiras dos córregos: Capão e Fanadinho - 5,14 ha;-17.666907908614398, -42.35434894661014;CP;2025
Antônio Carlos;Estação Ferroviária Antônio Carlos;Avenida Henrique Diniz,s/nº;BI;2024
Antônio Carlos;Marco Zero;Praça da Estação - esquina com Avenida João Cabral e Avenida Henrique Diniz, s/nº - Centro;BI;2008
Antônio Carlos;Locomotiva n° 66;Praça da Estação,s/nº – Centro;BM;2009
Araçaí;Caixa d'água e Chafariz;Avenida Dona Cândida s/nº;BI;2014
Araçaí;Estação Ferroviária Central;Avenida Pinheiro Alves  s/nº;BI;2008
Araçaí;Imagem de São Sebastião;Rua Padre Horta  s/nº- Centro;BM;2008
Araçaí;Praça Virgilato Coelho - 0,2 ha;Rua Primeiro de Março e Rua Doutor Teófilo;CP;2014
Aracitaba;Igreja Matriz do Nosso Senhor do Bonfim;Praça Nosso Senhor do Bonfim  s/nº;BI;2007
Aracitaba;Imagem do Nosso Senhor do Bonfim - Crucificado;Praça Nosso Senhor do Bonfim  s/nº;BM;2008
Araçuaí;Imagem de Nossa Senhora da Conceição;Altar-mor Igreja Nossa Senhora do Rosário - Praça do Rosário  s/nº;BM;2004
Araçuaí;Imagem de Nossa Senhora do Rosário;Altar-mor Igreja Nossa Senhora do Rosário - Praça do Rosário  s/nº;BM;2001
Araçuaí;Conjunto Arquitetônico da Matriz de Santo Antônio - 0,413 ha;Praça Franklin Resende nº 243 - Centro;CP;2022
Araçuaí;Igreja Senhor da Boa Vida;Rua do Porto s/nº;BI;2023
Araçuaí;Antigo Casarão da Família Cunha Melo;Rua Pernambuco  nº115;BI;2001
Araçuaí;Núcleo Histórico de Araçuaí - 80 unidades;Área compreendida pela Rua Salinas, travessas Iguassu, Calhau, Tapuia, Mica, ruas do Rosário, Grão Mogol, Rua Paraíba, Malacacheta, Costa Sena, Gentil de Castro e Praça Waldomiro Silva;NH;2008
Araguari;Conjunto Paisagístico do Bosque John Kennedy - 0,011343 ha;Avenida Minas Geraia s/nº;CP;2007
Araguari;Imóvel da Escola Estadual Raul Soares;Avenida Tiradentes nº 135;BI;2007
Araguari;Escultura de Anjo - artista Jorlano Spotto;Arquivo Histórico e Museu Doutor Calil Porto - Rua Doutor Afrânio nº178;BM;2007
Araguari;Fazenda Desamparo - Chacara dos Padres;Zona Rural;BI;2004
Araguari;Capela do Fundão:  Capela,Coreto e Cruzeiro -  0,06 ha;Fazenda do Fundão - Zona Rural;CP;2005
Araguari;Mural de autoria do Padre Otto Munier - parede do altar;Igreja Nossa Senhora Aparecida - Rua Jaime Gomes nº 1665 - Bairro Santa Helena;BM;2003
Araguari;Estação Ferroviária de Stevenson;Localizada às margens da BR 050 - Km 769 , 767;BI;2004
Araguari;Senhor Bom Jesus da Cana Verde;Parque Senhor Bom Jesus da Cana Verde -Praça nilo Tabuquini nº 34;BM;2006
Araguari;Coleção de negativos Geraldo Vieira;Arquivo Público Municipal  Doutor Caliu Porto - Rua Virgílo de Melo Franco nº 11 - Centro;BM;2007
Araguari;Conjunto Predial da Praça Padre nilo Tabuquini - 4,32 ha;Praça da Matriz;CP;2007
Araguari;Cine Teatro Rex - Atual Restaurante Napolitano;Praça Manuoel Bonito nº142, esquina com Travessa São Bento;BI;2008
Araguari;Casa da Cultura Abdala Mameri;Rua Coronel Ferreira Alves nº 1098;BI;2001
Araguari;Auto-retrato – Obra de Farnese de Andrade Neto;Arquivo Histórico e Museu Doutor Calil Porto - Rua Doutor Afrânio nº178;BM;2004
Araguari;Câmara Municipal;Rua Coronel José Ferreira Alves nº 758;BI;2007
Araguari;CEMIG - CIA Força e Luz;Rua Doutor Afrânio nº 178;BI;2007
Araguari;Palacete do Senhor Jovino de Araújo;Rua Estrela do Sul nº 270, esquina com Rua Olímpio dos Santos;BI;2005
Araguari;Associação Goiás Atlética;Rua Joaquim Anibal nº577;BI;2001
Araguari;Igreja de Florestina;Rua Manoel Caetano da Costa - Distrito de Florestina;BI;2003
Araguari;Cine Lux;Rua Marciano Santos nº 600 esquina com Rua Padre Lafaiete;BI;2008
Araguari;Estação Ferroviária de Amanhece Estação Marciano Santos;Rua Marciano Santos s/nº - Distrito de Amanhece;BI;2005
Araguari;Antiga residência de Doutor João nascimento de Godoy;Rua Quinca Mariano nº 180;BI;2007
Araguari;Conjunto Colégio Sagrado Coração de Jesus - CEMA - 1,0289 ha;Rua Virgílio de Melo Franco nº513;CP;2008
Araguari;Coleção de Livros do Colégio Regina Pacis;Rua Virgílo de Melo Franco nº11;BM;2003
Araguari;Antigo Banco Mineiro da Produção - Atual sede da Fundação Araguarina de Educação e Cultura;Rua Virgílo de Melo Franco nº11, com Rua Brasil Accioly nº86;BI;2006
Araguari;Complexo imobiliário e equipamentos da Usina do Piçarrão - Casa de Forças e Casa do Caseiro - 18,88 ha;Zona Rural;CP;2007
Araguari;Conjunto Arquitetônico e Paisagístico da Estrada de Ferro Goiás;"Operatrizes; Ferraria; Calderaria; Seção de ajustagem; Escola profissional; Marcenaria; Serraria; Móveis do prédio de locomoção; Oficina mecanizada; Oficina diesel; Locomoção;  Pátio;  Locomotiva/ Vagões - Praça Gaioso Neves,s/nº";BM;2005
Araguari;Conjunto Paisagístico da Mata do Desamparo - 35,79 ha;A área da mata, cercada por mourões de concreto e arame farpado, é atravessada no sentido norte sul pelo Córrego do Desamparo. No seu interior, acha-se implantado o Clube Quero-Quero, dos Oficiais do 11 - Batalhão Mauá;CP;2007
Araguari;Complexo Imobiliário e Equipamentos da Usina do Piçarrão - Casa de Forças e Casa do Caseiro - 13,88 ha;Zona Rural;CP;2007
Araponga;Altar de Nossa Senhora da Conceição;Capela do Senhor dos Passos - Rua Moisés Maurício Macedo s/nº - Centro;BM;2003
Araponga;Fazenda do Brigadeiro;Córrego dos Estouros  - Zona Rural;BI;2003
Araponga;Fazenda Nossa Senhora da Conceição;Córrego São Domingos - Zona Rural;BI;2003
Araporã;Igreja Nossa Senhora da Guia;Praça Doutor Antônio Hélio de Castro nº 65;BI;2001
Araporã;Imagem Nossa Senhora da Guia;Igreja Nossa Senhora da Guia  - Praça Doutor Antônio Hélio de Castro nº 65;BM;2014
Arapuá;Cruzeiro da Praça São João Batista;Praça São João Batista, Centro;BI;2024
Arapuá;Conjunto Paisagístico Praça São João Batista - 0,2588 ha;Praça João Balbino,s/nº - Colégio Batista;CP;2022
Arapuá;Fazenda Fradiques - 37.9;-19.058111509001368, -46.206052715463;BI;2024
Araújos;Igaçaba ou Urna Funerária - Antigo Salão Paroquial;Avenida Primeiro de Janeiro  n° 1632 – Centro;BM;2018
Araxá;Complexo Hidrotermal do Barreiro - 41,69 ha;Barragem do Lago Inferior:  7.827.500 000 e E 295.500 000;CP;2025
Araxá;Árvore dos Enforcados - Copaífera Langsdorffii - Pau de óleo - Morte por raio;Alto da Santa - Rua Gustavo Martins de Oliveira - Bairro da Santa;BI;2002
Araxá;Igreja Matriz de São Sebastião e  Imagens nela existentes;Avenida Vereador João Senav - Praça São Sebastião;BI;2002
Araxá;Praça Governador Valadares - 0,685477 ha;ruas Olegário Maciel  Calimério Guimarães,  Nossa Senhora da Conceição e Almeida Campos;CP;2002
Araxá;Estação Ferroviáira de Itaipu - Estrada de Ferro Oeste de Minas, Ramal Ibiá-Uberaba;MG-2795 - km 916,569;BI;2004
Araxá;Antiga Estação Ferroviária, Sede da Fundação Cultural Calmon Barreto de Araxá;Praça Arthur Bernardes nº 10;BI;2002
Araxá;Palácio Nagibe Feres - Sede da Câmara Municipal;Praça Coronel Adolfo nº 09;BI;2002
Araxá;Museu Histórico de Araxá Dona Beja e seu acervo;Praça Coronel Adolfo nº 98;BI;2002
Araxá;Fachada frontal do Colégio São Domingos;Praça São Domingos nº 360;BI;2013
Araxá;Igreja Matriz de São Domingos;Praça São Domingos s/nº;BI;2002
Araxá;Imagem de Nossa Senhora do Rosário;Paroquia de São Sebastião - Rua Belo Horizonte nº 661;BM;2013
Araxá;Edifício Nacional - Antigo Banco do Comércio e Indústria Minas Gerais;Rua Presidente Olegário Maciel nº 143;BI;2002
Araxá;Imóvel do Clube Brasil - Prédio do Banco do Brasil;Rua Presidente Olegário Maciel nº 187;BI;2002
Arceburgo;Coreto Municipal João Baptista Cilli;Praça Doutor Herculano de Paula Borges - Centro;BI;2025
Arceburgo;Herma do Coronel Cândido de Souza Dias;Praça Doutor Herculano de Paula Borges - Centro;BM;2009
Arceburgo;Fachada do Colégio Arceburguense - Antiga Escola Estadual Coronel Lucas Magalhães;Praça Doutor Herculano de Paula Borges nº210;BI;2009
Arceburgo;Parque Ambiental Francisca Stochi Luz Costa - 2,9 ha;Rua Angelo Galvanis/nº- Vila Esperança;CP;2009
Arceburgo;Capela de Nossa Senhora Aparecida do Esmeril;Bairro  Rural do Esmeril - Coordenadas: 21° 18’58.3”S 46° 57’35.9”W – 21.316244463991268, - 46.959621679961984;BI;2024
Arcos;Conjunto Paisagístico do Calçamento  - 1,268 ha;Rua Augusto Lara - Centro;CP;2022
Arcos;Casa do 1º Núcleo Habitacional de Arcos - 2021 - Demolida;Praça Martins Dias nº 28 - Bairro Niterói;BI;2000
Arcos;Conjunto Paisagístico da Gruta Cazanga -2,554 ha;Região da Cazanda - Zona  Rural;CP;2012
Arcos;Distribuidora Geral de Energia - Casa da Banda;Rua Ascânio Lima nº50 - Centro;BI;2006
Arcos;Cruzeiro dos Mártires;Travessa Paulo Jacinto s/nº - Bairro Cruzeiro;BI;2000
Arcos;Mural em Óleo Sobre Tela Intitulado “Painel de Arcos”;Não informado;BM;2020
Areado;Cruzeiro;Alto da Santa Cruz, atual Praça José Rodrigues do Prado,s/nº,- Bairro Alto do Cruzeiro;BM;2023
Areado;Escola Municipal João Luiz Alves;Praça Henrique Vieira nº 180, Centro;BI;2024
Argirita;Casa da Cooperativa - atual Casa da Cultura;Rua Joaquim Barbosa de Castro nº  312 - Centro;BI;2013
Aricanduva;Imagem Nossa Senhora da Conceição;Casa Paroquial - Praça da Matriz nº 32 - Centro;BM;2009
Aricanduva;Conjunto Urbanístico, Paisagístico e Arquitetônico da Igreja Matriz e seus bens integrados - 1,5 ha;Praça da Matriz;CP;2005
Aricanduva;Casa Paroquial;Praça da Matriz nº 32;BI;2005
Augusto de Lima;Estação Ferrroviária;Avenida Coronel Pedro Pedras,s/nº. Centro;BI;2022
Augusto de Lima;Conjunto Arquitetônico do século XIX:  Antiga Fábrica de Tecidos Santa Bárbara e as edificações em seu entorno -1,8  ha;Fazenda Santa Bárbara - Zona Rural;CP;2020
Baependi;Obra musical do Maestro Raposo: arranjos musicais de obras sacras com 17 missas completas, partituras e uma obra profana - peça cateretê;Fundação Baependiana de Educação Cultura e Ecologia - FUNBEC - Rua Nossa Senhora da Conceição nº 165, atual Rua Doutor Cornéliio Magalhães nº 97 - Centro;BM;2007
Baependi;Igreja Nossa Senhora da Boa Morte: Imagem Nossa Senhora da Boa Morte, Imagem Nossa Senhora Assunção, Imagem São Sebastião, Imagem de São Judas Tadeu;Igreja da Boa Morte  - Praça Argentino Rios s/nº;BI;2006
Baependi;Igreja de Nossa Senhora do Rosário: Imagem Nossa Senhora do Rosário, Imagem de Santa Rita, Imagem de Dom João Bosco, 01 Lampadário, 01 Sacrário, 01 Relógio Mostrador Público;Igreja do Rosário - Praça Arthur Basílio s/nº;BI;2008
Baependi;Capela Passo;Praça Doutor Policarpo Viottis/nº;BI;2007
Baependi;Prédio do Fórum - 4 fachadas e volumetria;Praça Doutor Raul Sá nº 63;BI;2001
Baependi;Acervo da Igreja Matriz de Nossa Senhora de Monserrat;Praça Monselhor Marcos s/nº;BM;2001
Baependi;Capela Passo;Praça Monsenhor Marcos;BI;2007
Baependi;"Usina Ribeirão -Usina Velha - Casa das máquinas; 02 turbinas tipo Francis; 02 geradores marca SIEMENS; 01 painel de medição - controle; 01 estação elevatoria; tubulações de ferro; canal adutor; Estradas de ferro das comportas - 2,1  ha";Ribeirão de Furnas - Fazenda Roseta;CP;2007
Baependi;Capela Passo;Rua Doutor Brotero do Pilar Cobra;BI;2007
Bambuí;Imagem de São José;Educandário São José - Rua Padre João Veloso nº 273 - Centro;BM;2011
Bambuí;Prédio do Antigo Fórum e Cadeia Pública - Atual Câmara Municipal de Bambuí;Rua Capitão Joaquim Eliziário A. Magalhães nº 112;BI;2008
Bandeira do Sul;Capela de Santa Rita;Bairro  Rural São Miguel Pequeno;BI;2009
Bandeira do Sul;Imagem de São Benedito;Rua Antônio de Brito Viana, nº 06 - Bairro Santa Terezinha;BM;2022
Bandeira do Sul;Casa das Irmãs;Rua Joaquim Ferreira de Oliveira nº 79 - Centro;BI;2020
Barão de Cocais;Secretaria de Cultura - Casa da Cultura;Avenida Getúlio Vargas nº 87 - Centro;BI;2011
Barão de Cocais;Capela de Nossa Senhora Aparecida e São Geraldo;Bairro Vila São Geraldo;BI;2022
Barão de Cocais;Núcleo Urbano de Cocais - 18 ha - 110 unidades;Distrito de Cocais;NH;2008
Barão de Cocais;Imagem de Nossa Senhora Mãe Augusta do Socorro;Igreja de Nossa Senhora Mãe Augusta do Socorro - Rua Principal s/nº - Povoado do Socorro;BM;2007
Barão de Cocais;Retábulo do Altar e Acervo de Bens Móveis da Igreja de São Gonçalo do Tambor;Povoado de São Gonçalo do Rio Acima;BM;2020
Barão de Cocais;Antigo Sobrado do Cartório;Praça de Santana nº 80 -  Distrito de Cocais;BI;2011
Barão de Cocais;Igreja de São Gonçalo do Tambor;Praça Dona Maria Efigênia Rodrigues  s/nº - Povoado de São Gonçalo do Rio Acima;BI;2019
Barão de Cocais;Antigo Cine Rex;Praça Monsenhor Gerardo Magela Pereira  nº254 - Centro;BI;2012
Barão de Cocais;Casa do Artesão;Praça Monsenhor Gerardo Magela Pereira nº 304, 08 - Centro;BI;2012
Barão de Cocais;Fazenda Soledade;Rua  Afonso Pena s/nº - Bairro Capim Cheiroso;BI;2019
Barão de Cocais;Igreja Nossa Senhora Mãe Augusta do Socorro;Rua  Principal s/nº - Povoado do Socorro;BI;2007
Barão de Cocais;Capela de São Benedito;Rua Desembargador Moreira dos Santos  s/nº – Bairro São Benedito;BI;2018
Barão de Cocais;Cruzeiro das Três Bicas;Rua Desembargador Moreira dos Santos,s/nº;BM;2022
Barão de Cocais;Capela de Santo Antônio;Rua João Raimundo Silveira - Bairro Capim Cheiroso;BI;2022
Barão de Cocais;Capela do Senhor dos Passos;Rua Luis Augusto Dias,s/nº - Distrito de  Cocais;BI;2022
Barão de Cocais;Sobrado de Dona Ely de Baby;Rua Monsenhor Gerardo Magela Pereira nº 160 - Centro;BI;2012
Barão de Cocais;Sítio Arqueológico da Pedra Pintada - 6,27 ha;Rua Principal nº 20 - Serra da Conceição - Distrito de Cocais;CP;2008
Barbacena;Sepultura de Chrispim Jacques Bias Fortes;Cemitério da Matriz de Nossa Senhora da Assunção - Bairro Boa Morte;BI;2007
Barbacena;Sepultura de Honório Armond;Cemitério da Matriz de Nossa Senhora da Assunção - Lote 409-D - Bairro Boa Morte;BI;2007
Barbacena;Fórum Mendes Pimentel;Praça Conde de Prados  s/nº - Centro;BI;2008
Barbacena;Solar dos Andradas;Praça dos Andradas nº 31;BI;2008
Barbacena;Igreja Nossa Senhora da Boa Morte e acervo;Paróquia de Nossa Senhora da Assunção - Praça Professor Soares Ferreira  s/nº - Bairro Boa Morte;BI;2008
Barbacena;Antiga Cadeia Pública de Barbacena - Casa de Cultura;Rua General Câmara  nº 11;BI;2008
Barbacena;Pontilhão Dom Pedro II;Rua Sena Madureira  s/nº - Bairro Pontilhão;BI;2004
Barbacena;Acervo do Jornal Cidade;Rua Tomaz Gonzaga nº 145 - Bairro Boa Morte;BM;2012
Barra Longa;Conjunto Arquitetônico da Fazenda das Corvinas: Casa grande, engenho, garagem, caixa d'água, paiol, curral, terreiro de café, usina, escola, engenho de pedra e duas casas de colono -  6,0 ha;Parte da fazenda é delimitada por duas estradas de terra, que lhe dão acesso, e pelo Rio Gualaxo do Norte;CP;2006
Barra Longa;Edificaçação;Avenida Capitão Manoel Carneiro nº 130/140 - Centro;BI;2004
